Epoch 38: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 39: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 40: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 41: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 42: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 43: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 44: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 45: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 46: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 47: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 48: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 49: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 50: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 51: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 52: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 53: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 54: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 55: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 56: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 57: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 58: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 59: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 60: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 61: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 62: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 63: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 64: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 65: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 66: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 67: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 68: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 69: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 70: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 71: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 72: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 73: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 74: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 75: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 76: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 77: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 78: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 79: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 80: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 81: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 82: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 83: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 84: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 85: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 86: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 87: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 88: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 89: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 90: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 91: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 92: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 93: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 94: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 95: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 96: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 97: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 98: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 99: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
Epoch 100: Train Loss: 0.0173| Train Accuracy: 99.51% , Val Loss: 0.0316| Val Accuracy: 99.00% , Test Loss: 0.0275| Test Accuracy: 99.04%
