Epoch 1: Train Loss: 0.1650| Train Accuracy: 94.68% , Val Loss: 0.0680| Val Accuracy: 98.02% , Test Loss: 0.0564| Test Accuracy: 98.08%
Epoch 2: Train Loss: 0.0434| Train Accuracy: 98.72% , Val Loss: 0.0487| Val Accuracy: 98.45% , Test Loss: 0.0435| Test Accuracy: 98.48%
Epoch 3: Train Loss: 0.0279| Train Accuracy: 99.21% , Val Loss: 0.0398| Val Accuracy: 98.65% , Test Loss: 0.0355| Test Accuracy: 98.75%
Epoch 4: Train Loss: 0.0203| Train Accuracy: 99.44% , Val Loss: 0.0345| Val Accuracy: 98.88% , Test Loss: 0.0310| Test Accuracy: 98.91%
Epoch 5: Train Loss: 0.0158| Train Accuracy: 99.57% , Val Loss: 0.0315| Val Accuracy: 99.05% , Test Loss: 0.0285| Test Accuracy: 98.97%
Epoch 6: Train Loss: 0.0131| Train Accuracy: 99.66% , Val Loss: 0.0295| Val Accuracy: 99.17% , Test Loss: 0.0271| Test Accuracy: 99.05%
Epoch 7: Train Loss: 0.0113| Train Accuracy: 99.71% , Val Loss: 0.0285| Val Accuracy: 99.15% , Test Loss: 0.0263| Test Accuracy: 99.03%
Epoch 8: Train Loss: 0.0101| Train Accuracy: 99.75% , Val Loss: 0.0280| Val Accuracy: 99.15% , Test Loss: 0.0259| Test Accuracy: 99.09%
Epoch 9: Train Loss: 0.0094| Train Accuracy: 99.77% , Val Loss: 0.0278| Val Accuracy: 99.15% , Test Loss: 0.0256| Test Accuracy: 99.11%
Epoch 10: Train Loss: 0.0088| Train Accuracy: 99.79% , Val Loss: 0.0277| Val Accuracy: 99.13% , Test Loss: 0.0253| Test Accuracy: 99.11%
Epoch 11: Train Loss: 0.0085| Train Accuracy: 99.81% , Val Loss: 0.0276| Val Accuracy: 99.12% , Test Loss: 0.0252| Test Accuracy: 99.11%
Epoch 12: Train Loss: 0.0082| Train Accuracy: 99.81% , Val Loss: 0.0276| Val Accuracy: 99.13% , Test Loss: 0.0251| Test Accuracy: 99.10%
Epoch 13: Train Loss: 0.0080| Train Accuracy: 99.82% , Val Loss: 0.0275| Val Accuracy: 99.13% , Test Loss: 0.0250| Test Accuracy: 99.10%
Epoch 14: Train Loss: 0.0079| Train Accuracy: 99.82% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0250| Test Accuracy: 99.11%
Epoch 15: Train Loss: 0.0078| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0250| Test Accuracy: 99.11%
Epoch 16: Train Loss: 0.0078| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0250| Test Accuracy: 99.11%
Epoch 17: Train Loss: 0.0077| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0249| Test Accuracy: 99.11%
Epoch 18: Train Loss: 0.0077| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0249| Test Accuracy: 99.11%
Epoch 19: Train Loss: 0.0077| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0249| Test Accuracy: 99.10%
Epoch 20: Train Loss: 0.0077| Train Accuracy: 99.83% , Val Loss: 0.0274| Val Accuracy: 99.13% , Test Loss: 0.0249| Test Accuracy: 99.10%
