Epoch 1: Train Loss: 0.3341| Train Accuracy: 89.68% , Val Loss: 0.1225| Val Accuracy: 95.97% , Test Loss: 0.1028| Test Accuracy: 96.72%
Epoch 2: Train Loss: 0.0798| Train Accuracy: 97.65% , Val Loss: 0.0796| Val Accuracy: 97.47% , Test Loss: 0.0658| Test Accuracy: 97.86%
Epoch 3: Train Loss: 0.0575| Train Accuracy: 98.31% , Val Loss: 0.0637| Val Accuracy: 98.05% , Test Loss: 0.0520| Test Accuracy: 98.25%
Epoch 4: Train Loss: 0.0477| Train Accuracy: 98.63% , Val Loss: 0.0556| Val Accuracy: 98.20% , Test Loss: 0.0454| Test Accuracy: 98.45%
Epoch 5: Train Loss: 0.0422| Train Accuracy: 98.79% , Val Loss: 0.0506| Val Accuracy: 98.50% , Test Loss: 0.0413| Test Accuracy: 98.65%
Epoch 6: Train Loss: 0.0387| Train Accuracy: 98.89% , Val Loss: 0.0475| Val Accuracy: 98.57% , Test Loss: 0.0390| Test Accuracy: 98.76%
Epoch 7: Train Loss: 0.0365| Train Accuracy: 98.96% , Val Loss: 0.0455| Val Accuracy: 98.58% , Test Loss: 0.0376| Test Accuracy: 98.79%
Epoch 8: Train Loss: 0.0349| Train Accuracy: 99.00% , Val Loss: 0.0443| Val Accuracy: 98.63% , Test Loss: 0.0368| Test Accuracy: 98.76%
Epoch 9: Train Loss: 0.0339| Train Accuracy: 99.04% , Val Loss: 0.0435| Val Accuracy: 98.63% , Test Loss: 0.0362| Test Accuracy: 98.79%
Epoch 10: Train Loss: 0.0331| Train Accuracy: 99.06% , Val Loss: 0.0431| Val Accuracy: 98.62% , Test Loss: 0.0358| Test Accuracy: 98.80%
Epoch 11: Train Loss: 0.0326| Train Accuracy: 99.07% , Val Loss: 0.0428| Val Accuracy: 98.65% , Test Loss: 0.0356| Test Accuracy: 98.79%
Epoch 12: Train Loss: 0.0323| Train Accuracy: 99.09% , Val Loss: 0.0426| Val Accuracy: 98.70% , Test Loss: 0.0354| Test Accuracy: 98.79%
Epoch 13: Train Loss: 0.0320| Train Accuracy: 99.09% , Val Loss: 0.0425| Val Accuracy: 98.72% , Test Loss: 0.0353| Test Accuracy: 98.79%
Epoch 14: Train Loss: 0.0318| Train Accuracy: 99.10% , Val Loss: 0.0424| Val Accuracy: 98.70% , Test Loss: 0.0352| Test Accuracy: 98.80%
Epoch 15: Train Loss: 0.0317| Train Accuracy: 99.10% , Val Loss: 0.0423| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.80%
Epoch 16: Train Loss: 0.0316| Train Accuracy: 99.11% , Val Loss: 0.0423| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.80%
Epoch 17: Train Loss: 0.0316| Train Accuracy: 99.12% , Val Loss: 0.0423| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.79%
Epoch 18: Train Loss: 0.0315| Train Accuracy: 99.12% , Val Loss: 0.0423| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.79%
Epoch 19: Train Loss: 0.0315| Train Accuracy: 99.12% , Val Loss: 0.0423| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.79%
Epoch 20: Train Loss: 0.0315| Train Accuracy: 99.12% , Val Loss: 0.0422| Val Accuracy: 98.70% , Test Loss: 0.0351| Test Accuracy: 98.79%
